Instance,Terminal,Layer,X location,Y location,Voltage
IO_FILL_IO_EAST_9_190,vdd,Metal1,3306.2750,2867.0000,1.199997
IO_FILL_IO_EAST_9_0,vdd,Metal1,3306.2750,2701.0000,1.199997
IO_FILL_IO_EAST_8_190,vdd,Metal1,3306.2750,2595.0000,1.199997
IO_FILL_IO_EAST_8_0,vdd,Metal1,3306.2750,2429.0000,1.199997
IO_FILL_IO_EAST_7_190,vdd,Metal1,3306.2750,2323.0000,1.199997
IO_FILL_IO_EAST_7_0,vdd,Metal1,3306.2750,2157.0000,1.199997
IO_FILL_IO_EAST_6_190,vdd,Metal1,3306.2750,2051.0000,1.199998
IO_FILL_IO_EAST_6_0,vdd,Metal1,3306.2750,1885.0000,1.199998
IO_FILL_IO_EAST_5_190,vdd,Metal1,3306.2750,1779.0000,1.199998
IO_FILL_IO_EAST_5_0,vdd,Metal1,3306.2750,1613.0000,1.199998
IO_FILL_IO_EAST_4_190,vdd,Metal1,3306.2750,1507.0000,1.199998
IO_FILL_IO_EAST_4_0,vdd,Metal1,3306.2750,1341.0000,1.199998
IO_FILL_IO_EAST_3_190,vdd,Metal1,3306.2750,1235.0000,1.199998
IO_FILL_IO_EAST_3_0,vdd,Metal1,3306.2750,1069.0000,1.199998
IO_FILL_IO_EAST_2_190,vdd,Metal1,3306.2750,963.0000,1.199998
IO_FILL_IO_EAST_2_0,vdd,Metal1,3306.2750,797.0000,1.199998
IO_FILL_IO_EAST_1_190,vdd,Metal1,3306.2750,691.0000,1.199998
IO_FILL_IO_EAST_1_0,vdd,Metal1,3306.2750,525.0000,1.199998
IO_FILL_IO_EAST_0_50,vdd,Metal1,3306.2750,395.0000,1.199998
IO_FILL_IO_NORTH_16_50,vdd,Metal1,3275.0000,4706.2750,1.199990
IO_FILL_IO_NORTH_15_100,vdd,Metal1,3137.0000,4706.2750,1.199988
IO_FILL_IO_NORTH_15_50,vdd,Metal1,3111.0000,4706.2750,1.199987
IO_FILL_IO_NORTH_14_100,vdd,Metal1,2953.0000,4706.2750,1.199985
IO_FILL_IO_NORTH_14_50,vdd,Metal1,2927.0000,4706.2750,1.199985
IO_FILL_IO_NORTH_13_100,vdd,Metal1,2769.0000,4706.2750,1.199983
IO_FILL_IO_NORTH_13_50,vdd,Metal1,2743.0000,4706.2750,1.199983
IO_FILL_IO_NORTH_12_100,vdd,Metal1,2585.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_12_50,vdd,Metal1,2559.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_11_100,vdd,Metal1,2401.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_11_50,vdd,Metal1,2375.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_10_100,vdd,Metal1,2217.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_10_50,vdd,Metal1,2191.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_9_100,vdd,Metal1,2033.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_9_50,vdd,Metal1,2007.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_8_100,vdd,Metal1,1849.0000,4706.2750,1.199978
